# class coastal green red blue red_edge1 red_edge2 red_edge3 swir1 swir2 NDVI LAI MNDWI
1 668 1121 1618 750.5 2126 2062 2158.5 3210.5 2668 0.135684 0.165541 -0.482396 
1 379 913.5 1241 558.5 2081 1820 1975.5 3870.5 3214 0.25286 0.37735 -0.618102 
1 807 1462 1966 1034 2684 2331 2456 4416 3708 0.154409 0.2703 -0.502552 
1 589 937 1358 671 1928 1745 1914 3301 2870 0.173463 0.224716 -0.55781 
1 871 1420 1770 1122 2725 2410.5 2620.5 4689.5 4027.5 0.212458 0.460565 -0.53515 
1 847 1984 2746 1402 3746 3356 3492 4670 3350 0.154036 0.340974 -0.403667 
1 672 1111 1517 808 1927 1806 1875.5 3211 2670.5 0.119048 0.129742 -0.485886 
1 613 1454 2022 1015 2888 2531 2697 4268 3150 0.176375 0.331977 -0.491786 
1 563 1290 1692 954 2430 2049 2160 3924 3402 0.179039 0.314697 -0.505178 
1 949 1590 2124 1228 2684 2502 2650 4527 3476 0.116473 0.19432 -0.480137 
1 775 1166 1618 899 2322 2069 2262 4138 3327 0.17868 0.298529 -0.560332 
1 593 1200 1576 816 2338 1994 2172 4017 3109 0.194686 0.321728 -0.539966 
1 708 1068 1484 801 1892 1742 1856 3455 2881 0.120853 0.131543 -0.527747 
1 742 1372 1914 882 2864 2572 2714 4673 3685 0.198828 0.366563 -0.546071 
1 719.5 1144 1546 900.5 2377 2054 2260 4246.5 3396.5 0.211828 0.386481 -0.57555 
1 859 1174 1560 956 2154 1936 2125 4902 4311 0.159935 0.256563 -0.613562 
1 981.5 1511 1988 1220 2740 2465 2644.5 4647.5 3714 0.159052 0.320319 -0.509296 
1 917.5 1270 1709 1000 2289 2047 2178.5 3755.5 3139 0.145073 0.23074 -0.494578 
1 745 1274 1656 927 2128 2031 2185 3575 2784 0.124736 0.164516 -0.474531 
1 653.5 1427 1975 1020 2845 2513 2744.5 4784 3849 0.180498 0.343669 -0.540493 
1 544 1318 1938 867 2632 2260 2472 4555 3559 0.15186 0.235497 -0.551166 
