class,coastal,green,red,blue,nir,red_edge1,red_edge2,red_edge3,swir1,swir2,NDVI,LAI,MNDWI
1,788,1638,2180,1258,2854,2392,2454,2635,4614,3879,0.133889570832253,0.251497000455856,-0.476007640361786
1,526,1194,1785,837,2551,1993,2066.5,2329,4361.5,3520,0.176660552620888,0.289953112602234,-0.570155680179596
1,776,1372,1830,1054,2420,2110,2198,2326,4082,3236,0.13882352411747,0.226404666900635,-0.496883004903793
1,1033,1648,2204,1212,2814,2444,2538,2682,4675,4053,0.121562354266644,0.207551628351212,-0.478728413581848
1,633,1152,1648,786,2322,1963,2100,2242,3899,2907,0.169773280620575,0.255664020776749,-0.543852686882019
1,987.5,1478,1913,1183,2828,2383.5,2616.5,2794,4858.5,3855,0.192997232079506,0.418247371912003,-0.53349643945694
1,619,1126,1495,755.5,2177,1746.5,1911.5,2095,4385,3551.5,0.18572986125946,0.280474931001663,-0.591362714767456
1,378,868,1472,505,1976,1732,1846,1984,3583,3106,0.14617170393467,0.149834722280502,-0.609975278377533
1,1090,1992,2627,1481,3409,2965.5,3065.5,3254.5,5005,3880,0.129556015133858,0.273573696613312,-0.430613160133362
1,798,1334,1727,1080,2287,1938,1989,2153,4025.5,3626.5,0.139511689543724,0.23014760017395,-0.502192378044128
1,907,1742,2432,1316,3276,2808,2871,3079,4648,3465,0.147862643003464,0.306157141923904,-0.454773098230362
1,793,1383,1940,1035,2748,2279.5,2407,2596.5,5257,4362.5,0.172354936599731,0.321587353944778,-0.58343368768692
1,707,1366,1914,909,2544,2226,2389,2460,3535,2436,0.141318991780281,0.213097363710403,-0.442562729120255
1,1079,1643,1960,1360,2821,2321.5,2516.5,2709.5,4614.5,4213,0.180087834596634,0.42353019118309,-0.474870175123215
1,1216,1826,2148,1512,3244,2580,2892,3129,4793,4359,0.203264102339745,0.552181243896484,-0.448255032300949
1,696.5,1240,1642,958,2465,1964.5,2157,2315,4082,3296.5,0.200389593839645,0.37393993139267,-0.53400981426239
1,665,1080,1626,810.5,2383,2160,2261.5,2463.5,3950,2814,0.188825145363808,0.308336138725281,-0.57057648897171
1,614,1089.5,1532,795,2166,1834,1947.5,2125.5,3553.5,2997.5,0.171444028615952,0.254480928182602,-0.530691385269165
1,586,1206,1646,886,2778,2113,2443,2632,4263,3337,0.255877047777176,0.521574020385742,-0.558968782424927
1,778.5,1319,1755,1050,2629,2090,2255.5,2432.5,4563,3716,0.19936129450798,0.399229139089584,-0.551513135433197
1,613.5,1111,1548,826.5,2174,1785.5,1865.5,2016.5,3866,3112.5,0.168189138174057,0.252967536449432,-0.55354630947113
1,603,1386,1892,974,2578,2131,2262,2452,4488,3479,0.153467580676079,0.255225330591202,-0.528089821338654
1,700,1316,1770,872,2302,2019,2099,2258,3997,3243,0.13064831495285,0.175733327865601,-0.504611253738403
1,673.5,1238,1997,870.5,2559,2179.5,2274.5,2427,4220.5,3707,0.123353816568851,0.164212942123413,-0.546395540237427
1,621.5,1166,1632,864,2196,1862.5,2000,2159.5,4057,3073.5,0.147335425019264,0.210951536893845,-0.553513288497925
1,640,1124,1514,816,2072,1688,1800,1931,3641,3001,0.155605137348175,0.217668473720551,-0.528226673603058
1,538,996,1478,662,1934,1669,1691,1786,2892,2514,0.133645951747894,0.142435699701309,-0.48765429854393
1,508,1020,1388,773,1978,1593,1768,1916,3733,2981,0.175282225012779,0.249822318553925,-0.570797383785248
1,700.5,852.5,1093.5,678,1958,1601,1822,1970,3374,2635,0.283303290605545,0.464060634374619,-0.596592962741852
1,632,1370,1950,974,2699,2171.5,2295.5,2512.5,4062,3139.5,0.161109924316406,0.278320670127869,-0.495581716299057
1,756,1379,1871,1027.5,2455,2111.5,2164,2324,3729,2879.5,0.134997695684433,0.212664395570755,-0.460062682628632
1,833.5,1463,1943,1081,2506,2219.5,2317,2475,4194,3391,0.126545324921608,0.199151068925858,-0.48276475071907
1,832.5,1309.5,1465,1228.5,2050,1650.5,1769,1861,3204,2651.5,0.166429564356804,0.337118744850159,-0.41974076628685
1,804,1344,1732,1056,2432,2081,2201,2357,4022,3488,0.168107599020004,0.306818902492523,-0.499068260192871
1,727.5,1484,2083,1066,2590,2325,2409,2491,3817.5,2947.5,0.108495630323887,0.150286167860031,-0.440158426761627
1,642.5,1247,1757,824,2491,2190,2394.5,2535,4160,3294.5,0.172787219285965,0.275937646627426,-0.538746058940888
1,782,1500,1952,1062,2388,2131,2193,2288,3987,3360,0.100460842251778,0.126414030790329,-0.453253149986267
1,590,1352,1946,901,2636,2297,2373,2536,4314,3401,0.150589242577553,0.237524211406708,-0.522767424583435
1,718,1244,1792,872,2348,2053,2194,2320,3864,2936,0.134299531579018,0.18568480014801,-0.51292097568512
1,719.5,1296,1846,916,2443,2290,2416.5,2556,3835.5,2980.5,0.139193281531334,0.206335723400116,-0.494884550571442
1,702,1430,2126,888,2834,2493,2594,2797,5511,4524,0.142741948366165,0.220291644334793,-0.587955594062805
1,956.5,1836,2489,1227,3198,2766.5,2927.5,3089.5,5395.5,4585,0.124670296907425,0.220778346061707,-0.492221504449844
1,595,1278,1788,841,2200,2003,2054,2129,3983,3078,0.1033099219203,0.106213450431824,-0.514160811901093
1,628,1316,1930,897,2686,2241,2360,2550,4247,3386,0.163778126239777,0.271886169910431,-0.526874005794525
1,838.5,1547,1971,1148,2818,2332,2569,2739,4212.5,2999,0.176863640546799,0.35980436205864,-0.462800621986389
1,689.5,1177,1541,823.5,1989,1773,1864,1971,3898.5,3328.5,0.126912176609039,0.151090055704117,-0.536203265190125
1,749,1394,1920,1078,2728,2252,2418,2568,4425,3274,0.173838198184967,0.334166079759598,-0.520879864692688
1,765,1211,1599,904.5,2410,1916,2168,2305.5,3606.5,2740,0.20229484140873,0.363956332206726,-0.497249573469162
1,700,1442,1960,1056,2670,2236,2298,2522,4517,3702,0.153347715735435,0.270973324775696,-0.516026198863983
1,666,1198,1644,830,2158,1748,1811,1937,3142,2819,0.135192021727562,0.176304638385773,-0.44792628288269
1,1200.5,1726,2236,1366,3179,2591,2808,2980,4989,4281,0.17414590716362,0.40367802977562,-0.485927045345306
1,1063,1440,1897,1163,2404,2076,2150.5,2292,4439.5,3659.5,0.117879539728165,0.186432212591171,-0.51016241312027
1,682,891.5,1289,700.5,2072,1563.5,1746.5,1921.5,4165.5,3424,0.232966363430023,0.3686763048172,-0.647419512271881
